,SongName,ArtistName
0,"Usure (From ""Sivappu Manjal Pachai"")",Siddhu Kumar & Sudharshan Ashok & Jothi Pushpa
1,A Different Way,DJ Snake Feat. Lauv
2,No Love In La,Mark Dohner
3,Better,Khalid
4,Reveal,Ikson
5,Reveal (8D Audio),Ikson 8D
6,Rays,Ikson
7,"Buttabomma (From ""Ala Vaikunthapurramuloo"")",Armaan Malik & S. Thaman
8,Lunar,Hallman
9,Lunar,Hallman
10,Over N Over,Not The King
11,Limitless,Adventure Club Feat. Delaney Jane
12,Adhi Adhi Raat,Bilal Saeed
13,Lalala (ilkan Gunuc Remix),Y2K & Bbno$
14,Lalala (ilkan Gunuc Remix),Y2K & Bbno$
15,Stuck In A Dream,Lil Mosey Feat. Gunna
16,Dark Out,Global Dan Feat. Global AZN
17,Better,Khalid
18,All Day And Night (Jax Jones & Martin Solveig Present Europa),Jax Jones & Martin Solveig & Madison Beer
19,Brow Chakra,Philip Permutt
20,Price On My Head,NAV Feat. The Weeknd
21,Dance Monkey,Tones And I
22,"Subha Hone Na De (From ""Desi Boyz"")",Mika Singh & Shefali Alvares
23,Somberi,Mathan & Naven
24,Owna Lane,TeeJay
25,Ven A Bailar (On The Floor),Jennifer Lopez Feat. Pitbull
26,Falls,ODESZA Feat. Sasha Sloan
27,Ocean,Martin Garrix Feat. Khalid
28,Might Not,Belly Feat. The Weeknd
29,Calling Me,Ooyy
30,Let Her Go,The Kid LAROI
31,Heaven,The Walkmen
32,Can We Kiss Forever?,Kina Feat. Adriana Proenza
33,Seoul Town Road (Old Town Road Remix),Lil Nas X & RM Feat. RM Of BTS
34,Beautiful People,Ed Sheeran Feat. Khalid
35,Memories,Maroon 5
36,On My Way,"Alan Walker, Sabrina Carpenter & Farruko"
37,Coming Home,Diddy - Dirty Money Feat. Skylar Grey
38,Roar (Live),Katy Perry
39,Blow Your Mind (Mwah),Dua Lipa
